X,Y,OGF_ID,LOCATION_ACCURACY,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-77.7553946,45.8672767,143649346,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,609
-78.1891416,45.2406822,143649344,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,625
-78.098,46.088254,143649341,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,641
-78.296,46.132946,143649339,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,657
-77.5429999999999,45.830102,143649337,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,673
-78.2814864,45.5303198,143649335,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,689
-78.7061451,45.5285642,143649332,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,705
-79.7640894,43.4082284,143649330,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,721
-78.2698633,45.5507678,143649327,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,737
-78.1636901,45.3829647,143649325,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,753
-78.423,46.09894,143649323,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,769
-79.7497947,43.408752,143649321,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,785
-80.3344513,42.7019938,143649320,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,801
-80.331238,42.7068806,143649319,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,817
-78.702,45.533032,143649318,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,833
-78.708054,45.535078,143649317,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,849
-77.7581678,45.8671252,143649316,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,865
-79.132565,45.8839393,143649315,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,881
-78.3734416,45.5873131,143649314,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,897
-80.337836,42.700439,143649313,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,913
-77.7553946,45.8672767,143649310,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,929
-78.5774994,45.5599753,143649309,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,945
-78.1520466,45.1939924,143649307,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,961
-79.7503395,43.4111389,143649305,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,977
-77.249682,43.9049524,143649303,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,993
-79.7597269,43.4107474,143649301,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1009
-78.4598656,46.0655323,143649299,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1025
